;tamanho_arranjo;rodada;min;max;chave;presente;metodo;comparacoes;tempo;posicao;cenario
107;100000;29;159;9999537;6493408.0;True;Sequencial;64733.0;0.016146516999924643;64732.0;Aleatório
108;100000;29;159;9999537;6493408.0;True;Por saltos;473.0;0.0001422350001121231;64732.0;Aleatório
109;100000;29;159;9999537;6493408.0;True;Binária;16.0;1.3768000371783273e-05;64732.0;Aleatório
110;100000;30;159;9999537;2057096.0;False;Sequencial;100000.0;0.022739504000128363;;Aleatório
111;100000;30;159;9999537;2057096.0;False;Por saltos;382.0;9.586799978933414e-05;;Aleatório
112;100000;30;159;9999537;2057096.0;False;Binária;17.0;1.8634999833011534e-05;;Aleatório
113;100000;31;159;9999537;1336917.0;True;Sequencial;13345.0;0.004498024999975314;13344.0;Aleatório
114;100000;31;159;9999537;1336917.0;True;Por saltos;115.0;4.544100011116825e-05;13344.0;Aleatório
115;100000;31;159;9999537;1336917.0;True;Binária;16.0;1.537099979032064e-05;13344.0;Aleatório
116;100000;32;159;9999537;9959619.0;True;Sequencial;99590.0;0.022152817000005598;99589.0;Aleatório
117;100000;32;159;9999537;9959619.0;True;Por saltos;365.0;0.0001720029999887629;99589.0;Aleatório
118;100000;32;159;9999537;9959619.0;True;Binária;17.0;1.6227999822149286e-05;99589.0;Aleatório
119;100000;33;159;9999537;9724703.0;True;Sequencial;97253.0;0.03165980599987961;97252.0;Aleatório
120;100000;33;159;9999537;9724703.0;True;Por saltos;548.0;0.00018777099967337563;97252.0;Aleatório
121;100000;33;159;9999537;9724703.0;True;Binária;16.0;1.4881999959470704e-05;97252.0;Aleatório
122;100000;34;159;9999537;4801334.0;True;Sequencial;47959.0;0.013107775000207766;47958.0;Aleatório
123;100000;34;159;9999537;4801334.0;True;Por saltos;394.0;0.00010859900021387148;47958.0;Aleatório
124;100000;34;159;9999537;4801334.0;True;Binária;17.0;1.4212999758456135e-05;47958.0;Aleatório
